age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,Backgound,randg,ID
55,Self-emp-not-inc,145574,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,34095,0,60,United-States,White Male,{A3B05C74-EB7D-4726-9C7C-0040588F29AE},13158
38,Private,161066,HS-grad,9,Divorced,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,0,0,50,United-States,Amer-Indian-Eskimo Male,{8E6D234D-0DA0-45EC-8050-004234C551B3},10316
33,Federal-gov,391122,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,United-States,White Female,{9E60D5DE-C8EE-4FA3-8510-00428AFE26C0},15314
60,Private,162347,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,40,United-States,White Male,{6DDB257E-8F14-46AA-8223-0044611FB40C},28098
25,Private,109390,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,70,United-States,White Male,{5105268C-C97A-4484-9893-0046F28BEE0B},27888
70,Private,174032,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,White Male,{5889F08D-0D42-47BC-A49A-00471B75F08C},30765
57,Private,175017,5th-6th,3,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Italy,White Male,{46F01578-CF98-4C60-8666-0048C459FC91},28828
28,Private,177955,11th,7,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,Mexico,White Female,{DCEF0DDB-8970-4ED1-97EB-004A051013D4},25154
47,Private,186534,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,White Male,{906D4EDE-4E23-4F93-8136-004C3933AD7D},30057
29,Private,274969,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Female,0,0,42,United-States,White Female,{0816CDC3-786A-4CA5-AF62-004F1F1455EB},17204
23,Private,235853,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,White Male,{AC45C206-19A0-4B2C-9558-004FFCC8E441},14099
55,Federal-gov,305850,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,40,United-States,White Male,{B2235D2E-F3EE-4F7A-A2F3-005050181ED2},24145
41,Private,121718,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Italy,White Male,{1196C95F-463B-41C1-B9BD-00513B83ABBB},11547
45,State-gov,208049,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States,White Female,{7585432D-8B72-48A1-87C0-005216782E63},20687
41,Private,247082,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,White Male,{DC89C9CB-307A-4F9E-913C-0053069E7DFD},8678
28,Private,123147,Some-college,10,Never-married,Tech-support,Not-in-family,White,Female,4865,0,40,United-States,White Female,{8D9E6A60-3946-42C7-A73B-005AE3A9478F},23203
37,Private,271767,Masters,14,Separated,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States,White Male,{0288C709-7671-4E0C-A14A-005DA91E641C},3012
36,Local-gov,135786,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,25,United-States,White Male,{3AF4B0E5-7CC1-4EB8-AF79-006692F9BB33},12817
30,Private,193598,Preschool,1,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,40,Mexico,White Male,{7210DED8-DC40-48AF-B5A5-006D54969AD2},9608
20,Private,68358,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,12,United-States,White Female,{3EF4F167-81D8-4E54-9E99-006DC3CE7A06},24969
21,Private,306967,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,White Female,{DE8AA3BE-83B7-4196-B79B-006F6DA747FF},5728
48,Self-emp-inc,30575,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,70,United-States,White Male,{0C56F1A0-8AFF-4330-B75A-0077694F355F},19281
36,Private,329980,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,27828,0,40,United-States,White Male,{5A5E7B11-8DD9-4C05-BF1E-007A7A50A637},19934
35,Private,178322,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,White Male,{B2D25FFE-FCB8-414B-B94A-007EA15D0681},18931
38,Private,223433,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,White Male,{5EADEAE2-A6A0-448A-9799-0080C66E4647},20583
19,Private,105289,10th,6,Never-married,Other-service,Other-relative,Black,Female,0,0,20,United-States,Black Female,{6CAA7DD8-BBBA-4E2F-90C5-0081DB041580},12691
42,Local-gov,195897,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,White Male,{6D49764E-3634-464D-BEC0-0082DB48AF88},31369
42,Private,154076,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,50,United-States,White Male,{8977E1E8-B00D-4504-9021-0082F93B185C},31322
53,Local-gov,216931,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,38,United-States,White Male,{F7BF1794-165A-42C2-9BC7-0083381D0DD2},21235
30,Private,123178,10th,6,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,White Male,{DC128528-AED4-4812-B4B7-0083B709966A},3590
40,Self-emp-not-inc,98985,HS-grad,9,Divorced,Exec-managerial,Not-in-family,Black,Male,0,0,50,United-States,Black Male,{268DBF89-BC40-468E-ABF8-00868A3B351B},22541
39,Private,248011,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5178,0,40,United-States,White Male,{9E6A58E5-4761-41E9-A130-00883EA91268},26983
22,Private,137862,Some-college,10,Never-married,Adm-clerical,Other-relative,White,Female,0,0,16,United-States,White Female,{67D1AF7F-9D33-4DB3-8289-00887E7C776C},16814
18,Private,104704,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Male,0,0,40,United-States,Black Male,{C71C06F0-4745-46AC-B498-008A03749BD0},3968
58,Private,417419,7th-8th,4,Divorced,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,White Male,{2539E38A-572D-469E-BB20-008A57D11EB4},5300
47,Self-emp-not-inc,248776,Masters,14,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,25,United-States,Black Male,{EEAAD256-3F7B-4F6C-84D8-008C21EE2DDA},14524
27,Private,113635,Bachelors,13,Never-married,Other-service,Not-in-family,White,Male,0,0,35,United-States,White Male,{44E68EB7-0E59-436D-A73A-008C54498C6B},28461
20,Private,373935,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,35,United-States,White Male,{7E99ECC8-9436-4DD8-A110-008E3CB12CFF},24578
38,Private,202683,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,White Male,{C773E379-BC8F-471D-9387-008E951AE769},12921
54,Private,244770,HS-grad,9,Never-married,Adm-clerical,Other-relative,White,Female,0,0,40,United-States,White Female,{F116E4E2-21CD-4BB2-837A-008ED3CF47F4},29373
27,State-gov,146243,Some-college,10,Separated,Other-service,Not-in-family,White,Female,0,0,30,United-States,White Female,{E434254B-16AB-49BC-926B-009287F8CC74},6364
26,Private,192262,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,White Male,{1AF710AD-CBF5-4748-A8C5-0096BB3F54D8},1624
20,Private,36235,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,White Female,{8561E2C5-3107-4B38-89B5-00988C2DF1B4},8174
45,Private,339506,HS-grad,9,Never-married,Sales,Not-in-family,Black,Male,0,0,40,United-States,Black Male,{6EF05C93-9570-49C2-9BD7-00988E33D05C},10491
51,Private,53197,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,White Male,{C080BEC2-4053-4942-ADCF-0098DCCF6CB5},28945
28,Private,125527,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,50,United-States,White Male,{F2C2E1FC-1093-40D1-A4A7-009D56CF5F3A},7229
52,Private,123011,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,White Male,{E338E2A4-27AA-4C00-9A96-009EBE3C5E0C},21014
41,Private,112181,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,0,0,12,United-States,White Female,{B063422E-EA6D-408B-879B-009F27BEC795},13815
35,Private,90406,11th,7,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,White Female,{CFDBDA89-EC92-416F-ADFD-009F3AAB5C43},27850
28,Private,204600,HS-grad,9,Separated,Protective-serv,Other-relative,White,Male,0,0,40,United-States,White Male,{C7E97689-4637-4E63-A3E4-00A06A7ADF16},24226
52,Private,99602,HS-grad,9,Separated,Craft-repair,Own-child,Black,Female,0,0,40,United-States,Black Female,{3856374C-059D-48CC-9026-00A5DA6B595F},13823
51,Self-emp-inc,180195,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,White Male,{F65E61C0-42BF-48CD-94C8-00A615BE5C40},3515
50,Private,170050,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,White Male,{6519D5F4-387A-4FDC-8425-00A72234E025},3785
17,Private,242718,11th,7,Never-married,Sales,Own-child,White,Male,0,0,12,United-States,White Male,{4C8A02FB-51D3-4338-83CE-00A9B3C431E8},1845
67,Private,231559,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,20051,0,48,United-States,White Male,{6C30329F-89BB-4034-A351-00AA6E4EA31E},1807
44,Private,344920,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,1617,20,United-States,White Female,{74F68CCE-3564-4E63-9C0A-00ABD74B92F8},9873
48,Private,278039,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,0,60,United-States,White Male,{D841068C-2212-4141-A7AF-00ACC6BFB235},26906
33,Private,247205,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,0,40,England,Black Male,{2F41FA5F-4C30-4C75-89F9-00AEB9844836},3998
45,Local-gov,119199,Assoc-acdm,12,Divorced,Prof-specialty,Unmarried,White,Female,0,0,48,United-States,White Female,{CB3589A4-1A78-4E57-A094-00B3F2E5ADC1},31593
48,Private,240231,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,40,Japan,Asian-Pac-Islander Male,{CD1E1B11-71C2-4EAF-9729-00B878B493A6},2121
57,Self-emp-not-inc,184553,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,White Male,{4EEAC9D0-6EB7-4936-8BD2-00B8935B9CDA},29056
69,State-gov,34339,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,White Male,{6442E44B-8F8D-47CC-97ED-00BBFBB186D4},719
72,Private,205343,11th,7,Widowed,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,White Female,{707464EF-38BA-4F91-A036-00BE43FC9B71},1825
54,Private,447555,10th,6,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,Black Male,{46031B44-B74E-4EF7-B8C8-00C1918C171E},19816
41,Private,187802,Some-college,10,Divorced,Tech-support,Not-in-family,White,Male,0,0,50,United-States,White Male,{55D2995D-54A0-4A78-A476-00C5E5BAC56B},22322
35,Private,105813,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,48,United-States,White Male,{C418B6B7-EC87-421A-ABB2-00C663897210},20848
43,Self-emp-not-inc,52498,Bachelors,13,Never-married,Prof-specialty,Unmarried,White,Female,0,0,50,United-States,White Female,{21F6DCD1-B76E-4C30-A97F-00C6BE7B7469},28924
33,Private,356015,HS-grad,9,Separated,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,0,0,35,Hong,Amer-Indian-Eskimo Male,{E78E71CE-36E0-41D4-A60A-00C84F7FE385},30974
34,Private,300681,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,Jamaica,Black Male,{6C65C971-FA84-4C09-ACF0-00C8FEA301ED},21302
59,Private,221336,10th,6,Widowed,Other-service,Other-relative,Asian-Pac-Islander,Female,0,0,40,Philippines,Asian-Pac-Islander Female,{B457EFEC-93FC-4F93-BE5C-00CCC3A741D5},7313
54,Private,299324,5th-6th,3,Married-spouse-absent,Machine-op-inspct,Unmarried,White,Male,0,0,40,Mexico,White Male,{80AF4E42-B564-4F4F-8225-00CE0CA2DEB4},21111
20,Private,171398,10th,6,Never-married,Sales,Not-in-family,Other,Male,0,0,40,United-States,Other Male,{B31B3676-760B-4933-B4CA-00D153D478EC},10711
50,Private,289390,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,47,United-States,White Male,{F5BA06E6-9EB7-41E1-9282-00D2FBE40214},11278
20,Private,148409,Some-college,10,Never-married,Sales,Other-relative,White,Male,1055,0,20,United-States,White Male,{E65F4F7D-847A-4965-992F-00D3FD1CFF0D},26256
58,Private,407138,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,2936,0,50,Mexico,White Male,{5B4F5DF6-B068-467E-BEBD-00D44B82A227},31781
54,Private,139703,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,3103,0,40,Germany,White Male,{9C2BEFFE-05D8-4462-95AA-00D72D36C815},14195
32,Self-emp-not-inc,48014,Some-college,10,Divorced,Other-service,Not-in-family,White,Female,0,0,35,United-States,White Female,{BB5A8057-65C9-466E-856D-00D97D93FA09},27170
88,Self-emp-not-inc,206291,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,White Male,{32DDEF9A-4754-4CC0-BC63-00D9CF6E65DA},4978
39,Private,327435,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,36,United-States,White Female,{2F27AFE7-EE25-47BC-BEDE-00DB49A18CD5},2450
54,Private,212960,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,35,United-States,White Male,{3DB02063-DCB4-4E65-AA11-00DCCA7F2CC6},1834
25,Private,178326,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,White Female,{B7848D18-31C2-4191-AA3E-00E1F1AE5E1E},4785
25,Private,109609,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,25,United-States,White Male,{4EA765D6-571C-4E3B-9E32-00E867B5A97D},15676
34,Private,220840,5th-6th,3,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,Mexico,White Male,{81B6295E-A1D5-42B8-BCF3-00EBD4A04F79},28775
90,Private,175491,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,9386,0,50,Ecuador,White Male,{5FD83954-C4B6-4432-8D42-00EBEB0B2C9B},12453
23,Private,210053,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,28,United-States,White Female,{9B7DE11D-9BD2-461C-88F9-00ED572878DF},21071
43,Private,112494,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,45,United-States,White Male,{B6D0BA79-4659-4782-BDE2-00F0493E446D},10225
39,Private,91996,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,White Female,{B54CDBAD-1E27-4459-A9D3-00F0D9651394},1782
41,Private,172307,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,White Male,{6B4BDB82-409C-43F9-AACB-00F228FE368A},23850
25,Private,178025,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,White Male,{3199F1DD-539B-4218-A439-00F2F29319CB},30932
55,Self-emp-not-inc,185195,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,White Male,{D970DDC8-BC9C-4F35-8F24-00F412648C1B},21078
45,Private,197038,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,White Male,{AA96258E-CE43-4BE4-8B83-00F8E3EBFD9B},10154
51,Private,263836,HS-grad,9,Widowed,Handlers-cleaners,Not-in-family,White,Male,0,0,30,United-States,White Male,{50211354-A7D8-41A4-B44D-00FA34116205},21118
61,Private,167138,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,White Female,{6F82B27C-96BD-46AA-804E-00FB22137833},23360
34,State-gov,112062,Masters,14,Never-married,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,White Female,{02283F9D-5CC9-4701-89AE-00FB2CA87945},27814
25,Private,186294,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,50,United-States,White Female,{52199B39-48C2-425D-A2A1-0101DFF3E8A1},5697
40,Private,188291,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,White Male,{316AEB12-9672-43EB-97ED-01025A9C75D0},22986
24,State-gov,197731,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,49,United-States,White Male,{50AC1759-49C7-4A33-8EB3-0103CE1E0C5F},26016
26,Private,117833,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,1669,50,United-States,White Female,{3433522C-330B-4C9C-A7EC-0104F30654BE},3806
19,Private,112269,Some-college,10,Never-married,Other-service,Other-relative,White,Female,0,0,40,United-States,White Female,{2F21A18A-2BD4-428A-A6FD-010E2A92CCCD},25576
27,Private,189775,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,Black Female,{D6832B5C-FFCE-4A8E-A9D3-010F33BBCE33},8443
27,Private,91189,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,White Male,{51053546-81E8-4E4A-B1A9-0111A8B17346},10002
40,Private,174515,HS-grad,9,Married-spouse-absent,Other-service,Own-child,White,Female,0,0,40,United-States,White Female,{03D4CDB7-5DD3-40E9-8373-0114ABBF2F1B},2891
23,Private,148709,HS-grad,9,Separated,Handlers-cleaners,Other-relative,White,Female,0,0,40,United-States,White Female,{DF650C2C-8575-42F8-997F-01150307B753},9779
56,Private,286487,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2885,0,45,United-States,White Male,{C94B4211-713B-40E9-9F34-01194E89440D},1567
41,Private,207779,HS-grad,9,Separated,Other-service,Not-in-family,White,Female,0,0,40,United-States,White Female,{3F0CD6E9-65EE-4C17-9A48-0121CB503103},19846
39,Local-gov,177728,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,White Female,{C710D154-1631-4F31-9C0D-012208DB33A2},12476
49,Private,261688,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,5013,0,60,United-States,White Male,{4517ED0B-BAA8-4DCA-8274-01221D498D5B},16180
41,Private,30759,7th-8th,4,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,White Male,{277B86F7-ECC6-4AC2-9E78-0122F830C28D},24459
22,Local-gov,289982,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,35,United-States,White Female,{C98BE044-AC3D-4226-8196-0124414BC01A},11949
32,Private,184833,10th,6,Separated,Craft-repair,Unmarried,White,Female,0,0,40,United-States,White Female,{638E6809-7AC1-4CFF-80D6-0129149E46BE},23845
24,Private,285457,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,White Male,{603B3679-075E-49DF-80DB-0129F9A95BED},16822
29,Private,134890,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,White Male,{C6ECE479-FD3E-4EDF-9C8B-012AF351301D},716
42,Local-gov,266135,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,52,United-States,White Male,{6CC60F94-220F-4273-BA52-012E0FFC9513},14958
42,Private,198096,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,White Male,{D949A5A6-29BE-4A2E-BE11-01357A167FA9},10911
61,State-gov,130466,HS-grad,9,Widowed,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,0,0,40,United-States,Amer-Indian-Eskimo Female,{53348546-674E-40E3-BFDC-0136302D3E4D},27345
43,Private,242804,HS-grad,9,Separated,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,White Male,{CC4F829C-1880-49B4-80AE-0138F2109BC4},27142
20,Private,122971,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,35,United-States,White Male,{367B8C10-6813-4E27-9EFA-01393AFADF9D},30005
45,Self-emp-not-inc,149640,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,30,United-States,White Male,{9C725D62-10B9-41A8-8A2F-013E5A913D0A},30355
51,Private,197163,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,2559,50,United-States,White Female,{706DE017-740A-4047-B983-013F3A027F0B},27507
35,Self-emp-not-inc,61343,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,90,United-States,White Male,{F42C6AD1-2C4D-4CF4-9204-014143424361},14695
63,Private,38352,HS-grad,9,Widowed,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,White Female,{12E80301-C1B1-4783-BA50-0141CF98D81C},11867
40,Self-emp-not-inc,209040,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,White Male,{D6B53E07-19C8-474D-81C4-01443B4DB662},10528
28,Private,50814,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,White Female,{E58785CF-C2C6-4EDB-B2E3-0149080DA4FB},3904
55,Private,147989,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,5013,0,52,United-States,White Male,{D9667239-73F7-4AB5-B6C2-014ACC7B63EF},17784
32,Private,193231,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,White Male,{2AD10061-0CEC-493B-B1CE-014D78D02589},13748
21,Private,83704,12th,8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,White Male,{B19B8311-E96F-46BD-A8D8-015AC71EDAC0},21725
46,Self-emp-inc,182655,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,White Male,{D980EA1F-F4B5-4835-B93C-015C7BE166A9},2008
